Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG LA-RA,ECG LA-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL
No Units,mV,mV,No Units,mV,No Units,No Units,mSecs
162526,11.72163984,-1.51303965,-20979,-605.0000721,-8388608,4352,132.8125
162371,11.71046099,-1.491475283,-20680,-605.0000721,-8388608,4416,134.765625
162262,11.70259973,-1.528329435,-21191,-605.0000721,-8388608,4480,136.71875
161530,11.6498067,-1.413151194,-19594,-605.0000721,-8388608,4544,138.671875
161206,11.62643929,-1.422022155,-19717,-605.0000721,-8388608,4608,140.625
161132,11.62110229,-1.321340361,-18321,-605.0000721,-8388608,4672,142.578125
160910,11.60509129,-1.356030864,-18802,-605.0000721,-8388608,4736,144.53125
160883,11.603144,-1.37398915,-19051,-605.0000721,-8388608,4800,146.484375
160546,11.57883901,-1.247415691,-17296,-605.0000721,-8388608,4864,148.4375
160406,11.56874199,-1.274461302,-17671,-605.0000721,-8388608,4928,150.390625
160228,11.55590434,-1.188348077,-16477,-605.0000721,-8388608,4992,152.34375
160415,11.56939108,-1.226572541,-17007,-605.0000721,-8388608,5056,154.296875
159793,11.52453143,-1.129496828,-15661,-605.0000721,-8388608,5120,156.25
159906,11.53268117,-1.176736495,-16316,-605.0000721,-8388608,5184,158.203125
158846,11.45623224,-1.116587057,-15482,-605.0000721,-8388608,5248,160.15625
158489,11.43048482,-1.13620414,-15754,-605.0000721,-8388608,5312,162.109375
158264,11.41425746,-1.068409809,-14814,-605.0000721,-8388608,5376,164.0625
158969,11.4651032,-1.019006493,-14129,-605.0000721,-8388608,5440,166.015625
158009,11.39586644,-0.989364504,-13718,-605.0000721,-8388608,5504,167.96875
157864,11.38540881,-1.03126717,-14299,-605.0000721,-8388608,5568,169.921875
158143,11.40553074,-0.915872564,-12699,-605.0000721,-8388608,5632,171.875
158897,11.45991045,-0.919478645,-12749,-605.0000721,-8388608,5696,173.828125
158448,11.42752784,-0.896255481,-12427,-605.0000721,-8388608,5760,175.78125
158766,11.45046251,-0.893947589,-12395,-605.0000721,-8388608,5824,177.734375
159576,11.50888103,-0.838558178,-11627,-605.0000721,-8388608,5888,179.6875
158770,11.450751,-0.806247688,-11179,-605.0000721,-8388608,5952,181.640625
158956,11.46416562,-0.736650316,-10214,-605.0000721,-8388608,6016,183.59375
159156,11.47858995,-0.760161967,-10540,-605.0000721,-8388608,6080,185.546875
159446,11.49950522,-0.764561387,-10601,-605.0000721,-8388608,6144,187.5
160593,11.58222873,-0.627674535,-8703,-605.0000721,-8388608,6208,189.453125
159856,11.52907509,-0.650825578,-9024,-605.0000721,-8388608,6272,191.40625
160698,11.5898015,-0.665033539,-9221,-605.0000721,-8388608,6336,193.359375
160023,11.5411194,-0.62125571,-8614,-605.0000721,-8388608,6400,195.3125
160434,11.57076139,-0.572789976,-7942,-605.0000721,-8388608,6464,197.265625
160605,11.58309419,-0.570049354,-7904,-605.0000721,-8388608,6528,199.21875
160713,11.59088333,-0.562837191,-7804,-605.0000721,-8388608,6592,201.171875
160643,11.58583481,-0.466194208,-6464,-605.0000721,-8388608,6656,203.125
160376,11.56657834,-0.507303537,-7034,-605.0000721,-8388608,6720,205.078125
160401,11.56838138,-0.436407976,-6051,-605.0000721,-8388608,6784,207.03125
160430,11.5704729,-0.353395981,-4900,-605.0000721,-8388608,6848,208.984375
160184,11.55273098,-0.404169608,-5604,-605.0000721,-8388608,6912,210.9375
160254,11.5577795,-0.34849171,-4832,-605.0000721,-8388608,6976,212.890625
160358,11.56528015,-0.306156314,-4245,-605.0000721,-8388608,7040,214.84375
159854,11.52893085,-0.239948659,-3327,-605.0000721,-8388608,7104,216.796875
160002,11.53960485,-0.218961265,-3036,-605.0000721,-8388608,7168,218.75
159695,11.51746351,-0.174750707,-2423,-605.0000721,-8388608,7232,220.703125
159388,11.49532217,-0.178645274,-2477,-605.0000721,-8388608,7296,222.65625
158976,11.46560806,-0.09520055,-1320,-605.0000721,-8388608,7360,224.609375
160379,11.5667947,-0.154484529,-2142,-605.0000721,-8388608,7424,226.5625
159938,11.53498906,-0.0850314,-1179,-605.0000721,-8388608,7488,228.515625
160409,11.56895835,-0.024954084,-346,-605.0000721,-8388608,7552,230.46875
160289,11.56030375,-0.0310123,-430,-605.0000721,-8388608,7616,232.421875
159926,11.5341236,0.036277179,503,-605.0000721,-8388608,7680,234.375
159678,11.51623744,0.028704408,398,-605.0000721,-8388608,7744,236.328125
159831,11.52727205,0.091738712,1272,-605.0000721,-8388608,7808,238.28125
160347,11.56448681,0.094262969,1307,-605.0000721,-8388608,7872,240.234375
159568,11.50830406,0.152465123,2114,-605.0000721,-8388608,7936,242.1875
159554,11.50729436,0.146334785,2029,-605.0000721,-8388608,8000,244.140625
159693,11.51731926,0.210450913,2918,-605.0000721,-8388608,8064,246.09375
159794,11.52460355,0.209080602,2899,-605.0000721,-8388608,8128,248.046875
159739,11.52063686,0.269302162,3734,-605.0000721,-8388608,8192,250
159861,11.5294357,0.240237145,3331,-605.0000721,-8388608,8256,251.953125
160488,11.57465596,0.320292153,4441,-605.0000721,-8388608,8320,253.90625
