Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,ECG Vx-RL,ECG Vx-RL,Timestamp,Timestamp,ECG LA-RA,ECG LA-RA
RAW,CAL,CAL,RAW,CAL,RAW,RAW,CAL
No Units,mV,mV,No Units,mSecs,No Units,No Units,mV
-1563,-14.42938017,-0.009231849,-1,318.359375,10432,-1067,-9.850383007
-1567,-14.46630757,-0.073854793,-8,322.265625,10560,-1069,-9.868846706
-1571,-14.50323496,-0.027695547,-3,326.171875,10688,-1073,-9.905774102
-1573,-14.52169866,-0.221564379,-24,330.078125,10816,-1082,-9.988860744
-1562,-14.42014832,-0.452360607,-49,333.984375,10944,-1083,-9.998092593
-1565,-14.44784387,-0.064622944,-7,337.890625,11072,-1079,-9.961165197
-1575,-14.54016236,-0.609302042,-66,341.796875,11200,-1090,-10.06271554
-1560,-14.40168462,-0.258491775,-28,345.703125,11328,-1083,-9.998092593
-1579,-14.57708975,-0.775475326,-84,349.609375,11456,-1107,-10.21965697
-1567,-14.46630757,-0.923184912,-100,353.515625,11584,-1095,-10.10887478
-1572,-14.51246681,-0.664693136,-72,357.421875,11712,-1093,-10.09041108
-1570,-14.49400311,-0.036927396,-4,361.328125,11840,-1091,-10.07194739
-1570,-14.49400311,-0.600070193,-65,365.234375,11968,-1090,-10.06271554
-1571,-14.50323496,-0.904721213,-98,369.140625,12096,-1099,-10.14580218
-1568,-14.47553941,-0.895489364,-97,373.046875,12224,-1088,-10.04425184
-1568,-14.47553941,-0.120014039,-13,376.953125,12352,-1085,-10.01655629
-1579,-14.57708975,-0.009231849,-1,380.859375,12480,-1081,-9.979628895
-1569,-14.48477126,-0.009231849,-1,384.765625,12608,-1083,-9.998092593
-1582,-14.6047853,-0.895489364,-97,388.671875,12736,-1091,-10.07194739
-1562,-14.42014832,-0.590838343,-64,392.578125,12864,-1075,-9.9242378
-1568,-14.47553941,-0.064622944,-7,396.484375,12992,-1074,-9.915005951
-1564,-14.43861202,-0.147709586,-16,400.390625,13120,-1070,-9.878078555
-1569,-14.48477126,-0.590838343,-64,404.296875,13248,-1073,-9.905774102
-1577,-14.55862606,-0.073854793,-8,408.203125,13376,-1084,-10.00732444
-1575,-14.54016236,-0.046159246,-5,412.109375,13504,-1068,-9.859614856
-1579,-14.57708975,-0.018463698,-2,416.015625,13632,-1074,-9.915005951
-1557,-14.37398907,-0.258491775,-28,419.921875,13760,-1052,-9.711905271
-1567,-14.46630757,-0.009231849,-1,423.828125,13888,-1063,-9.813455611
-1575,-14.54016236,-0.018463698,-2,427.734375,14016,-1068,-9.859614856
-1576,-14.54939421,-0.138477737,-15,431.640625,14144,-1069,-9.868846706
-1569,-14.48477126,-0.009231849,-1,435.546875,14272,-1059,-9.776528214
-1572,-14.51246681,-0.110782189,-12,439.453125,14400,-1060,-9.785760063
-1570,-14.49400311,-0.563142796,-61,443.359375,14528,-1061,-9.794991913
-1574,-14.53093051,-0.055391095,-6,447.265625,14656,-1067,-9.850383007
-1571,-14.50323496,-0.064622944,-7,451.171875,14784,-1060,-9.785760063
-1573,-14.52169866,-0.036927396,-4,455.078125,14912,-1060,-9.785760063
-1569,-14.48477126,-0.276955473,-30,458.984375,15040,-1050,-9.693441572
-1565,-14.44784387,-0.147709586,-16,462.890625,15168,-1052,-9.711905271
-1582,-14.6047853,-0.009231849,-1,466.796875,15296,-1058,-9.767296365
-1567,-14.46630757,-0.009231849,-1,470.703125,15424,-1054,-9.730368969
-1574,-14.53093051,-0.009231849,-1,474.609375,15552,-1064,-9.82268746
-1559,-14.39245277,-0.147709586,-16,478.515625,15680,-1045,-9.647282327
-1577,-14.55862606,-0.452360607,-49,482.421875,15808,-1061,-9.794991913
-1579,-14.57708975,-0.009231849,-1,486.328125,15936,-1064,-9.82268746
-1581,-14.59555345,-0.073854793,-8,490.234375,16064,-1062,-9.804223762
-1568,-14.47553941,-0.064622944,-7,494.140625,16192,-1061,-9.794991913
-1571,-14.50323496,-0.295419172,-32,498.046875,16320,-1051,-9.702673421
-1570,-14.49400311,-0.147709586,-16,501.953125,16448,-1056,-9.748832667
-1577,-14.55862606,-0.064622944,-7,505.859375,16576,-1061,-9.794991913
-1578,-14.56785791,-0.147709586,-16,509.765625,16704,-1068,-9.859614856
-1565,-14.44784387,-0.018463698,-2,513.671875,16832,-1056,-9.748832667
-1558,-14.38322092,-0.129245888,-14,517.578125,16960,-1045,-9.647282327
-1559,-14.39245277,-0.452360607,-49,521.484375,17088,-1061,-9.794991913
-1564,-14.43861202,-0.138477737,-15,525.390625,17216,-1057,-9.758064516
-1576,-14.54939421,-0.009231849,-1,529.296875,17344,-1066,-9.841151158
-1573,-14.52169866,-0.5262154,-57,533.203125,17472,-1068,-9.859614856
-1554,-14.34629353,-0.221564379,-24,537.109375,17600,-1047,-9.665746025
-1562,-14.42014832,-0.31388287,-34,541.015625,17728,-1060,-9.785760063
-1552,-14.32782983,-0.009231849,-1,544.921875,17856,-1049,-9.684209723
-1566,-14.45707572,-0.009231849,-1,548.828125,17984,-1060,-9.785760063
-1567,-14.46630757,-0.120014039,-13,552.734375,18112,-1054,-9.730368969
-1571,-14.50323496,-0.009231849,-1,556.640625,18240,-1055,-9.739600818
-1569,-14.48477126,-0.147709586,-16,560.546875,18368,-1057,-9.758064516
-1575,-14.54016236,-0.147709586,-16,564.453125,18496,-1061,-9.794991913
-1575,-14.54016236,-0.009231849,-1,568.359375,18624,-1073,-9.905774102
-1572,-14.51246681,-0.073854793,-8,572.265625,18752,-1061,-9.794991913
-1571,-14.50323496,-0.480056154,-52,576.171875,18880,-1060,-9.785760063
-1573,-14.52169866,-0.563142796,-61,580.078125,19008,-1061,-9.794991913
-1579,-14.57708975,-0.5262154,-57,583.984375,19136,-1066,-9.841151158
-1590,-14.6786401,-0.156941435,-17,587.890625,19264,-1078,-9.951933348
-1582,-14.6047853,-0.009231849,-1,591.796875,19392,-1066,-9.841151158
-1571,-14.50323496,-0.590838343,-64,595.703125,19520,-1060,-9.785760063
-1576,-14.54939421,-0.120014039,-13,599.609375,19648,-1059,-9.776528214
-1576,-14.54939421,-0.083086642,-9,603.515625,19776,-1063,-9.813455611
-1584,-14.623249,-0.009231849,-1,607.421875,19904,-1067,-9.850383007
-1575,-14.54016236,-0.009231849,-1,611.328125,20032,-1057,-9.758064516
-1574,-14.53093051,-0.5262154,-57,615.234375,20160,-1059,-9.776528214
-1575,-14.54016236,-0.073854793,-8,619.140625,20288,-1047,-9.665746025
-1577,-14.55862606,-0.295419172,-32,623.046875,20416,-1056,-9.748832667
-1589,-14.66940825,-0.120014039,-13,626.953125,20544,-1069,-9.868846706
-1575,-14.54016236,-0.295419172,-32,630.859375,20672,-1056,-9.748832667
-1589,-14.66940825,-0.286187323,-31,634.765625,20800,-1051,-9.702673421
-1585,-14.63248085,-0.027695547,-3,638.671875,20928,-1031,-9.518036439
-1606,-14.82634968,-0.036927396,-4,642.578125,21056,-1036,-9.564195685
-1606,-14.82634968,-0.147709586,-16,646.484375,21184,-1040,-9.601123081
-1585,-14.63248085,-4.726706748,-512,650.390625,21312,-1024,-9.453413495
-1561,-14.41091647,-0.092318491,-10,654.296875,21440,-1034,-9.545731986
-1531,-14.133961,-4.726706748,-512,658.203125,21568,-1023,-9.444181646
