Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device,Device
ECG LL-RA,ECG LL-RA,EXG2 Status,ECG LA-RA,ECG LA-RA,EXG1 Status,ECG Vx-RL,ECG Vx-RL,ExG2 CH1,ExG2 CH1,Timestamp,Timestamp
CAL,RAW,RAW,CAL,RAW,RAW,RAW,CAL,RAW,CAL,RAW,CAL
mV,No Units,No Units,mV,No Units,No Units,No Units,mV,No Units,mV,No Units,mSecs
-14.40528565,-199736,128,-13.74717578,-190611,128,-58382,-4.210604931,16297,1.175366184,37120,1132.8125
-14.33770768,-198799,128,-13.68630513,-189767,128,-59400,-4.284024749,15843,1.142622965,37760,1152.34375
-14.37766306,-199353,128,-13.71032163,-190100,128,-57808,-4.169207116,16352,1.179332874,38400,1171.875
-14.34650652,-198921,128,-13.68075176,-189690,128,-58904,-4.248252421,16160,1.165485521,39040,1191.40625
-14.32349972,-198602,128,-13.6655341,-189479,128,-58368,-4.209595228,16350,1.17918863,39680,1210.9375
-14.31296996,-198456,128,-13.61425562,-188768,128,-58368,-4.209595228,15999,1.153873939,40320,1230.46875
-14.34729986,-198932,128,-13.67505415,-189611,128,-58401,-4.211975242,16382,1.181496523,40960,1250
-14.29674259,-198231,128,-13.6135344,-188758,128,-58247,-4.200868511,16360,1.179909847,41600,1269.53125
-14.22952524,-197299,128,-13.56139047,-188035,128,-65476,-4.722235766,15903,1.146950262,42240,1289.0625
-14.17846312,-196591,128,-13.4971301,-187144,128,-57337,-4.135237829,15934,1.149186033,42880,1308.59375
-14.1810595,-196627,128,-13.5194878,-187454,128,-57280,-4.131126896,16320,1.177024982,43520,1328.125
-14.09321536,-195409,128,-13.48090273,-186919,128,-57297,-4.132352964,1033,0.074501643,44160,1347.65625
-14.11434699,-195702,128,-13.52706057,-187559,128,-57328,-4.134588734,7,5.05E-04,44800,1367.1875
-14.15127327,-196214,128,-13.54667765,-187831,128,-56372,-4.065640457,451,0.032526855,45440,1386.71875
-14.2704182,-197866,128,-13.63812788,-189099,128,-65417,-4.71798059,14808,1.067977079,46080,1406.25
-14.32703368,-198651,128,-13.6505328,-189271,128,-65376,-4.715023603,14340,1.034224157,46720,1425.78125
-14.36857574,-199227,128,-13.69813308,-189931,128,-57856,-4.172668954,16382,1.181496523,47360,1445.3125
-14.28239039,-198032,128,-13.60653861,-188661,128,-65533,-4.726346699,16143,1.164259453,48000,1464.84375
-14.38170187,-199409,128,-13.69423851,-189877,128,-58925,-4.249766976,15375,1.108870042,48640,1484.375
-14.30294505,-198317,128,-13.64988371,-189262,128,-65346,-4.712859954,16382,1.181496523,49280,1503.90625
-14.37131636,-199265,128,-13.67692932,-189637,128,-65497,-4.72375032,15397,1.110456718,49920,1523.4375
-14.33467857,-198757,128,-13.65471585,-189329,128,-59391,-4.283375655,16164,1.165774008,50560,1542.96875
-14.28195766,-198026,128,-13.60278828,-188609,128,-65473,-4.722019401,16240,1.171255251,51200,1562.5
-14.33374099,-198744,128,-13.63949819,-189118,128,-64761,-4.670668801,16230,1.170534035,51840,1582.03125
-14.3244373,-198615,128,-13.63293512,-189027,128,-65073,-4.693170749,15423,1.112331881,52480,1601.5625
-14.30179111,-198301,128,-13.62348719,-188896,128,-57370,-4.137617843,16355,1.179549239,53120,1621.09375
-14.34888653,-198954,128,-13.68702634,-189777,128,-65410,-4.717475738,14456,1.042590266,53760,1640.625
-14.31318633,-198459,128,-13.6398588,-189123,128,-64512,-4.652710516,16383,1.181568644,54400,1660.15625
-14.33749131,-198796,128,-13.65348979,-189312,128,-57529,-4.149085182,15553,1.121707692,55040,1679.6875
-14.35393505,-199024,128,-13.66279348,-189441,128,-65025,-4.689708911,16256,1.172409197,55680,1699.21875
-14.32739429,-198656,128,-13.63589211,-189068,128,-65529,-4.726058212,15377,1.109014286,56320,1718.75
-14.34491984,-198899,128,-13.65810557,-189376,128,-65536,-4.726563063,16321,1.177097103,56960,1738.28125
-14.32169668,-198577,128,-13.64043577,-189131,128,-65536,-4.726563063,15364,1.108076705,57600,1757.8125
